score,keywords
73.26587301587301,"cancer cell, therapeutic"
71.76666666666668,"dna, function"
61.607142857142854,"interaction, network"
60.18888888888889,"gene, association"
41.0,"breast cancer, gene"
32.33333333333333,"breast cancer, morphogenesis"
28.0,"gene, analysis"
27.058441558441558,two genes encode protein kinase domains
25.672619047619047,"protein, annotations"
24.4106240981241,"gene, functional"
